OID, value
.1.3.6.1.2.1.4.22.1.2.2.172.17.36.225,Hex-STRING: 40 71 9B 59 5F 70 
.1.3.6.1.2.1.4.22.1.3.2.172.17.36.225,IpAddress: 172.17.36.225
.1.3.6.1.2.1.4.22.1.4.2.172.17.36.225,INTEGER: 3
.1.3.6.1.2.1.4.22.1.1.3.172.17.36.225,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.22.1.2.3.172.17.36.225,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.22.1.3.3.172.17.36.225,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.22.1.4.3.172.17.36.225,No Such Instance currently exists at this OID
.1.3.6.1.2.1.4.23.0,Counter32: 0
.1.3.6.1.2.1.5.1.0,Counter32: 54
.1.3.6.1.2.1.5.2.0,Counter32: 0
.1.3.6.1.2.1.5.3.0,Counter32: 12
.1.3.6.1.2.1.5.4.0,Counter32: 0
.1.3.6.1.2.1.5.5.0,Counter32: 0
.1.3.6.1.2.1.5.6.0,Counter32: 0
.1.3.6.1.2.1.5.7.0,Counter32: 0
.1.3.6.1.2.1.5.8.0,Counter32: 42
.1.3.6.1.2.1.5.9.0,Counter32: 0
.1.3.6.1.2.1.5.10.0,Counter32: 0
.1.3.6.1.2.1.5.11.0,Counter32: 0
.1.3.6.1.2.1.5.12.0,Counter32: 0
.1.3.6.1.2.1.5.13.0,Counter32: 0
.1.3.6.1.2.1.5.14.0,Counter32: 54
.1.3.6.1.2.1.5.15.0,Counter32: 0
.1.3.6.1.2.1.5.16.0,Counter32: 12
.1.3.6.1.2.1.5.17.0,Counter32: 0
.1.3.6.1.2.1.5.18.0,Counter32: 0
.1.3.6.1.2.1.5.19.0,Counter32: 0
.1.3.6.1.2.1.5.20.0,Counter32: 0
.1.3.6.1.2.1.5.21.0,Counter32: 0
.1.3.6.1.2.1.5.22.0,Counter32: 42
.1.3.6.1.2.1.5.23.0,Counter32: 0
.1.3.6.1.2.1.5.24.0,Counter32: 0
.1.3.6.1.2.1.5.25.0,Counter32: 0
.1.3.6.1.2.1.5.26.0,Counter32: 0
.1.3.6.1.2.1.6.1.0,INTEGER: 1
.1.3.6.1.2.1.6.2.0,INTEGER: 200
.1.3.6.1.2.1.6.3.0,INTEGER: 120000
.1.3.6.1.2.1.6.4.0,INTEGER: -1
.1.3.6.1.2.1.6.5.0,Counter32: 2
.1.3.6.1.2.1.6.6.0,Counter32: 256
.1.3.6.1.2.1.6.7.0,Counter32: 0
.1.3.6.1.2.1.6.8.0,Counter32: 0
.1.3.6.1.2.1.6.9.0,Gauge32: 4
.1.3.6.1.2.1.6.10.0,Counter32: 78841
.1.3.6.1.2.1.6.11.0,Counter32: 78528
.1.3.6.1.2.1.6.12.0,Counter32: 0
.1.3.6.1.2.1.6.13.0,No Such Object available on this agent at this OID
.1.3.6.1.2.1.6.13.1.1.0.0.0.0.22.0.0.0.0.0,INTEGER: 2
.1.3.6.1.2.1.6.13.1.2.0.0.0.0.22.0.0.0.0.0,IpAddress: 0.0.0.0
.1.3.6.1.2.1.6.13.1.3.0.0.0.0.22.0.0.0.0.0,INTEGER: 22
